Timestamp,Q1  How would you describe your academic performance overall this semester?,Q2  Roughly what percentage of your scheduled classes have you attended this semester?,"Q3  Out of the last 5 assignments or coursework submissions due, how many did you submit on time?","Q4  Have you ever repeated, or are you currently repeating, any course at KNUST?","Q5  In the past three months, have you seriously considered withdrawing from KNUST or taking a break of one semester or more from your studies?","Q6  Over the last 2 weeks, how often have you been bothered by... little interest or pleasure in doing things?","Q7  Over the last 2 weeks, how often have you been bothered by... feeling down, depressed, or hopeless?","Q8  Over the last 2 weeks, how often have you been bothered by... feeling nervous, anxious, or on edge?","Q9  Over the last 2 weeks, how often have you been bothered by... not being able to stop or control worrying?","Q10   In the current semester, to what extent has financial difficulty affected your ability to fully participate in your studies? (For example: inability to buy required textbooks, pay exam fees, or cover transport to campus.)","Q11   How would you describe your ability to access the internet reliably for academic work? (For example: downloading lecture notes, submitting assignments online, attending virtual classes.)","Q12   Do you have significant responsibilities outside of your studies — such as paid work, caring for family members, or supporting your household financially — that regularly compete with your study time?",Which faculty or college are you currently enrolled in at KNUST?,"  If you selected Other Faculty, please specify your faculty or school.  ",Q14   What year of study are you currently in?,What is your gender?,"Q16   Thinking about your overall experience at KNUST, how strongly do you feel that you belong here as a student?"
2026/06/01 8:39:25 AM GMT,Excellent,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,More than half the days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/12 8:39:23 PM GMT,Good,40–60%,All 5,No,No,Not at all,Not at all,Not at all,More than half the days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,Agriculture ,Year 4,Female,Strongly agree — I feel I belong here
2026/05/27 10:35:12 PM GMT,Excellent,60–80%,All 5,No,No,More than half the days,More than half the days,Not at all,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Arts and Social Sciences,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/01 3:28:11 AM GMT,Good,40–60%,All 5,No,I have thought about it briefly but not seriously,More than half the days,Several days,More than half the days,More than half the days,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/13 9:49:58 PM GMT,Excellent,Less than 40%,All 5,No,"Yes, I have seriously considered this",Several days,Several days,Several days,Nearly every day,Severely — it has significantly limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/10 12:30:53 PM GMT,Struggling Significantly,More than 80%,All 5,Yes,"Yes, I have seriously considered this",More than half the days,Several days,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/16 8:46:44 PM GMT,Good,60–80%,All 5,Yes,I have thought about it briefly but not seriously,More than half the days,Several days,Several days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Engineering,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/16 9:24:52 PM GMT,Excellent,More than 80%,All 5,No,No,Several days,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Science,,Year 3,Female,Agree — I mostly feel I belong here
2026/06/15 8:01:25 PM GMT,Average,Less than 40%,All 5,No,"Yes, I have seriously considered this",Several days,More than half the days,Several days,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/02 10:53:51 AM GMT,Good,60–80%,All 5,No,No,Not at all,Not at all,Not at all,Several days,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,Other Faculty,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/12 9:03:40 PM GMT,Good,60–80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Several days,Not at all,More than half the days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/01 1:06:17 PM GMT,Average,60–80%,All 5,No,No,Not at all,Not at all,Nearly every day,Nearly every day,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/15 9:08:59 PM GMT,Good,More than 80%,3 or 4,No,No,Nearly every day,Not at all,Several days,More than half the days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/15 8:01:25 PM GMT,Good,More than 80%,All 5,Yes,"Yes, I have seriously considered this",More than half the days,Several days,More than half the days,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Female,Neutral
2026/06/15 9:35:22 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,More than half the days,Not at all,Not at all,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Female,Neutral
2026/06/01 3:19:31 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Nearly every day,More than half the days,Several days,Not at all,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,Other Faculty,,Year 3,Male,Strongly agree — I feel I belong here
2026/06/03 3:43:13 PM GMT,Good,60–80%,3 or 4,No,No,Several days,Not at all,Several days,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,Other Faculty,COHSS,Year 3,Female,Neutral
2026/06/17 12:50:43 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,Other Faculty,,Year 1,Male,Neutral
2026/06/16 9:09:59 PM GMT,Average,More than 80%,All 5,No,No,Nearly every day,Several days,Not at all,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,School of Business,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/14 10:37:32 AM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Several days,More than half the days,Several days,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 3,Male,Disagree — I often feel I do not belong here
2026/06/02 9:33:45 AM GMT,Average,40–60%,All 5,Yes,I have thought about it briefly but not seriously,Not at all,Not at all,Not at all,More than half the days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 2,Female,Agree — I mostly feel I belong here
2026/06/10 1:19:21 PM GMT,Excellent,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/12 8:42:30 PM GMT,Good,More than 80%,1 or 2,No,I have thought about it briefly but not seriously,Not at all,Several days,Nearly every day,Not at all,Severely — it has significantly limited my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,College of Science,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/15 9:35:28 PM GMT,Average,More than 80%,3 or 4,No,"Yes, I have seriously considered this",Nearly every day,Several days,Several days,Nearly every day,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 1,Female,Neutral
2026/06/12 8:24:50 PM GMT,Good,More than 80%,All 5,Yes,"Yes, I have seriously considered this",Several days,Nearly every day,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 3,Male,Disagree — I often feel I do not belong here
2026/06/12 9:10:17 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/10 1:56:08 PM GMT,Excellent,More than 80%,3 or 4,No,No,More than half the days,Not at all,More than half the days,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Prefer not to say,Neutral
2026/06/10 12:32:16 PM GMT,Average,60–80%,All 5,No,No,Not at all,Not at all,More than half the days,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/13 9:39:49 PM GMT,Average,More than 80%,1 or 2,Yes,"Yes, I have seriously considered this",Not at all,Not at all,Nearly every day,Not at all,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/13 9:21:56 PM GMT,Good,More than 80%,3 or 4,No,No,Not at all,Nearly every day,Not at all,Not at all,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 1,Male,Agree — I mostly feel I belong here
2026/05/30 11:45:08 AM GMT,Excellent,60–80%,All 5,No,No,Not at all,Several days,Several days,Nearly every day,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 3,Female,Neutral
2026/06/13 9:16:25 PM GMT,Excellent,More than 80%,3 or 4,Yes,I have thought about it briefly but not seriously,Several days,Not at all,Nearly every day,More than half the days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 3,Female,Agree — I mostly feel I belong here
2026/06/13 9:55:24 PM GMT,Excellent,More than 80%,All 5,No,No,Several days,Several days,Several days,Not at all,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 2,Female,Neutral
2026/06/02 10:53:51 AM GMT,Excellent,More than 80%,All 5,No,No,Nearly every day,More than half the days,Several days,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 2,Female,Neutral
2026/06/17 1:21:41 PM GMT,Average,More than 80%,3 or 4,Yes,"Yes, I have seriously considered this",Nearly every day,Not at all,Not at all,Nearly every day,Not at all,Frequently unreliable — regular difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/01 3:14:25 PM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Severely — it has significantly limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 1,Female,Strongly agree — I feel I belong here
2026/06/10 1:57:35 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,Not at all,Nearly every day,Nearly every day,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Prefer not to say,Agree — I mostly feel I belong here
2026/05/11 6:24:04 PM GMT,Good,More than 80%,1 or 2,No,I have thought about it briefly but not seriously,Not at all,Nearly every day,More than half the days,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,School of Business,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/15 9:24:40 PM GMT,Average,40–60%,All 5,No,I have thought about it briefly but not seriously,Not at all,Several days,Several days,Nearly every day,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/15 8:03:58 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/13 9:25:38 PM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Nearly every day,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,Other Faculty,Humanities ,Year 1,Male,Agree — I mostly feel I belong here
2026/06/12 8:24:50 PM GMT,Average,40–60%,1 or 2,No,"Yes, I have seriously considered this",Not at all,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Engineering,Civil engineering ,Year 1,Male,Neutral
2026/06/12 8:42:30 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Not at all,Several days,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Engineering,,Year 2,Female,Neutral
2026/05/28 8:35:48 PM GMT,Good,60–80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/12 8:25:29 PM GMT,Good,Less than 40%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,School of Business,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/10 2:03:48 PM GMT,Average,More than 80%,1 or 2,Yes,I have thought about it briefly but not seriously,Not at all,More than half the days,Several days,Not at all,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 2,Male,Neutral
2026/06/13 10:14:34 PM GMT,Good,More than 80%,All 5,No,No,Nearly every day,Not at all,Not at all,More than half the days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,College of built and arts,Year 1,Male,Strongly agree — I feel I belong here
2026/06/17 4:51:15 AM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Engineering,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/10 1:57:35 PM GMT,Good,60–80%,All 5,No,No,Several days,Several days,Several days,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 4,Male,Agree — I mostly feel I belong here
2026/06/01 1:16:24 PM GMT,Excellent,More than 80%,All 5,Yes,No,More than half the days,Nearly every day,Not at all,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/14 4:26:55 PM GMT,Excellent,60–80%,All 5,No,No,Several days,Not at all,Nearly every day,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,Other Faculty,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/13 10:03:39 PM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Several days,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,College of Humanities and social sciences ,Year 1,Male,Strongly agree — I feel I belong here
2026/06/16 8:26:13 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Not at all,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/10 1:51:37 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,Not at all,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Male,Strongly agree — I feel I belong here
2026/05/29 3:14:07 PM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Several days,Several days,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,Faculty of Agriculture ,Year 1,Female,Strongly agree — I feel I belong here
2026/06/12 8:42:02 PM GMT,Good,60–80%,3 or 4,No,No,Several days,Several days,Not at all,Several days,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Arts and Social Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/01 8:25:54 AM GMT,Average,60–80%,All 5,Yes,No,Not at all,Not at all,Not at all,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 3,Male,Neutral
2026/06/13 10:27:24 PM GMT,Excellent,60–80%,,No,No,Several days,More than half the days,Not at all,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Science,faculty of biosciences ,Year 3,Female,Agree — I mostly feel I belong here
2026/06/10 1:54:49 PM GMT,Excellent,More than 80%,All 5,No,No,More than half the days,More than half the days,Several days,Nearly every day,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Health Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/05/11 9:55:59 PM GMT,Good,More than 80%,3 or 4,No,No,More than half the days,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Engineering,,Year 3,Female,Strongly agree — I feel I belong here
2026/05/29 11:46:48 AM GMT,Average,More than 80%,,No,I have thought about it briefly but not seriously,Not at all,Several days,Not at all,More than half the days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/09 2:57:08 PM GMT,Average,Less than 40%,1 or 2,No,"Yes, I have seriously considered this",Several days,Several days,Nearly every day,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 3,Male,Strongly agree — I feel I belong here
2026/05/12 9:15:27 AM GMT,Excellent,60–80%,3 or 4,No,I have thought about it briefly but not seriously,Not at all,More than half the days,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 3,Male,Neutral
2026/06/01 8:17:26 AM GMT,Below Average,60–80%,All 5,No,"Yes, I have seriously considered this",Not at all,Several days,Not at all,Nearly every day,Not at all,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Engineering,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/16 10:04:26 PM GMT,Good,60–80%,All 5,Yes,I have thought about it briefly but not seriously,Several days,Several days,More than half the days,More than half the days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Engineering,,Year 3,Female,Agree — I mostly feel I belong here
2026/05/28 1:22:04 PM GMT,Average,60–80%,1 or 2,No,I have thought about it briefly but not seriously,Several days,Several days,Several days,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,Faculty of Pharmacy and Pharmaceutical sciences ,Year 4,Female,Agree — I mostly feel I belong here
2026/06/16 9:24:52 PM GMT,Good,More than 80%,3 or 4,Yes,No,Several days,Not at all,Not at all,Several days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Engineering,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/02 3:40:31 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Not at all,More than half the days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/17 12:32:05 PM GMT,Excellent,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Nearly every day,Several days,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,Other Faculty,,Year 1,Male,Agree — I mostly feel I belong here
2026/05/28 8:35:48 PM GMT,Good,More than 80%,All 5,Yes,No,Not at all,More than half the days,More than half the days,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Male,Neutral
2026/06/13 9:30:28 PM GMT,Excellent,60–80%,All 5,Yes,No,Several days,Not at all,Not at all,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,School of Business,,Year 4,Female,Neutral
2026/06/01 3:32:35 PM GMT,Good,More than 80%,3 or 4,No,I have thought about it briefly but not seriously,Nearly every day,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/16 10:01:23 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Not at all,Several days,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/12 8:42:02 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Several days,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/12 9:03:40 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,More than half the days,More than half the days,Nearly every day,Not at all,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Health Sciences,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/01 7:49:29 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,College of Agriculture and Natural Resources ,Year 4,Male,Neutral
2026/06/13 10:01:02 PM GMT,Good,40–60%,3 or 4,No,No,Not at all,More than half the days,Not at all,Not at all,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Agree — I mostly feel I belong here
2026/05/29 12:54:07 AM GMT,Average,40–60%,All 5,No,I have thought about it briefly but not seriously,More than half the days,More than half the days,Not at all,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Health Sciences,Faculty of Social sciences ,Year 1,Female,Agree — I mostly feel I belong here
2026/06/15 9:24:40 PM GMT,Excellent,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,More than half the days,Several days,More than half the days,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Female,Neutral
2026/06/13 9:25:13 PM GMT,Excellent,60–80%,3 or 4,No,No,Not at all,Not at all,Not at all,Nearly every day,Not at all,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/01 3:22:10 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Nearly every day,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,College of Agriculture ,Year 2,Female,Agree — I mostly feel I belong here
2026/06/13 9:45:04 PM GMT,Excellent,60–80%,3 or 4,No,No,Not at all,Not at all,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Engineering,,Year 2,Male,Agree — I mostly feel I belong here
2026/05/12 11:41:52 AM GMT,Average,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,Other Faculty,,Year 3,Female,Strongly agree — I feel I belong here
2026/06/10 2:01:40 PM GMT,Excellent,More than 80%,3 or 4,No,No,Several days,More than half the days,Several days,Several days,Not at all,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Engineering,,Year 1,Male,Neutral
2026/06/01 1:13:47 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,More than half the days,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 1,Female,Neutral
2026/06/01 3:16:27 PM GMT,Average,More than 80%,All 5,No,"Yes, I have seriously considered this",Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Health Sciences,,Year 3,Male,Disagree — I often feel I do not belong here
2026/06/16 8:50:57 PM GMT,Good,60–80%,All 5,No,"Yes, I have seriously considered this",Several days,Nearly every day,Nearly every day,Nearly every day,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/12 8:59:11 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/16 8:22:36 PM GMT,Average,More than 80%,,No,"Yes, I have seriously considered this",More than half the days,Several days,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Arts and Social Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/13 9:48:33 PM GMT,Average,60–80%,3 or 4,No,No,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 2,Male,Neutral
2026/06/13 9:42:46 PM GMT,Excellent,More than 80%,All 5,No,No,More than half the days,Several days,Not at all,Several days,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 2,Male,Neutral
2026/06/16 9:26:17 PM GMT,Good,More than 80%,All 5,No,"Yes, I have seriously considered this",Several days,Not at all,More than half the days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Arts and Social Sciences,Fmce,Year 2,Male,Agree — I mostly feel I belong here
2026/06/13 9:38:37 PM GMT,Average,More than 80%,All 5,No,"Yes, I have seriously considered this",Nearly every day,Nearly every day,More than half the days,Nearly every day,Severely — it has significantly limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Male,Neutral
2026/06/16 8:14:51 PM GMT,Average,60–80%,All 5,No,No,Several days,Nearly every day,Several days,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,College of Agriculture and Natural Resources ,Year 3,Female,Strongly agree — I feel I belong here
2026/06/17 1:20:50 PM GMT,Good,More than 80%,3 or 4,No,No,Not at all,Several days,Not at all,Not at all,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,Other Faculty,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/01 8:20:19 AM GMT,Good,More than 80%,All 5,No,No,More than half the days,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,Other Faculty,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/17 12:26:36 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,More than half the days,Not at all,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,,Year 3,Female,Strongly agree — I feel I belong here
2026/06/12 7:14:48 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Nearly every day,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 1,Female,Agree — I mostly feel I belong here
2026/05/30 11:40:16 AM GMT,Average,More than 80%,All 5,Yes,No,Several days,Not at all,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Health Sciences,,Year 2,Male,Strongly agree — I feel I belong here
